year,country_id_o,country_id_d,iso3_o,iso3_d,dist,distcap,contig,comlang_off,comrelig,gdp_o,gdp_d,INTL_BRDR,lndist,pta,tradebalanceusthousand,exportusthousand,importusthousand,mfnweightedaverage,,trade
2021,AUS,AUS,AUS,AUS,1046,1046,0,0,0.142845,1.54E+09,1.54E+09,0,6.952729,0,"-5,82,687",0,"5,82,687",0,,582687
2021,AUS,BRA,AUS,BRA,13105,14075,0,0,0.26929,1.54E+09,1.61E+09,1,9.480749,0,590363,1.30E+06,716537,2.25,,590363
2021,AUS,CHN,AUS,CHN,8024,8977,0,0,0.000048,1.54E+09,1.77E+10,1,8.990192,0,4.40E+07,1.20E+08,7.30E+07,3.05,,44000000
2021,AUS,DEU.2,AUS,DEU,15965,16059,0,0,0.2126404,1.54E+09,4.22E+09,1,9.678154,0,-9.40E+06,1.70E+06,1.10E+07,3,,9400000
2021,AUS,HKG,AUS,HKG,7391,7361,0,1,0.041019,1.54E+09,3.68E+08,1,8.908018,0,3.90E+06,4.60E+06,661756,1.13,,3900000
2021,AUS,IDN.2,AUS,IDN,5202,5388,0,0,0.02014,1.54E+09,1.19E+09,1,8.556798,0,3.20E+06,7.00E+06,3.80E+06,2.98,,3200000
2021,AUS,IND,AUS,IND,10192,10342,0,1,0.006665,1.54E+09,3.17E+09,1,9.229359,0,7.30E+06,1.40E+07,6.40E+06,2.81,,7300000
2021,AUS,JPN,AUS,JPN,8156,7918,0,0,0.003891,1.54E+09,4.94E+09,1,9.006509,0,1.50E+07,3.00E+07,1.60E+07,4.02,,15000000
2021,AUS,MYS.2,AUS,MYS,6358,6519,0,0,0.012566,1.54E+09,3.73E+08,1,8.757469,0,-6.10E+06,4.20E+06,1.00E+07,1.87,,6100000
2021,AUS,NLD,AUS,NLD,16541,16621,0,0,0.225756,1.54E+09,1.02E+09,1,9.713597,0,-277061,2.60E+06,2.80E+06,2.61,,277061
2021,AUS,RUS,AUS,RUS,14412,14468,0,0,0.00437,1.54E+09,1.78E+09,1,9.575816,0,-197102,183937,381039,2.17,,197102
2021,AUS,SAU,AUS,SAU,12342,12631,0,0,0.002507,1.54E+09,8.34E+08,1,9.420763,0,668744,1.30E+06,637040,0.56,,668744
2021,AUS,SGP,AUS,SGP,6047,6204,0,1,0.02037,1.54E+09,3.97E+08,1,8.707317,0,-3.20E+06,6.60E+06,9.80E+06,1.74,,3200000
2021,AUS,USA,AUS,USA,16672,15944,0,1,0.191276,1.54E+09,2.30E+10,1,9.721486,0,-1.60E+07,1.10E+07,2.70E+07,2.3,,16000000
2021,AUS,ZAF,AUS,ZAF,10347,10839,0,1,0.12246,1.54E+09,4.20E+08,1,9.244452,0,-131799,809529,941328,3.31,,131799
2021,BRA,AUS,BRA,AUS,13105,14075,0,0,0.26929,1.61E+09,1.54E+09,1,9.480749,0,-711393,560620,1.30E+06,2.51,,711393
2021,BRA,BRA,BRA,BRA,1098,1098,0,0,0.772485,1.61E+09,1.61E+09,0,7.001245,1,"-3,43,872","1,667","3,45,539",0,,343872
2021,BRA,CHN,BRA,CHN,18570,16934,0,0,0.000024,1.61E+09,1.77E+10,1,9.829303,1,3.40E+07,8.80E+07,5.30E+07,11.54,,34000000
2021,BRA,DEU.2,BRA,DEU,10232,9577,0,0,0.3258602,1.61E+09,4.22E+09,1,9.233275,0,-6.90E+06,5.00E+06,1.20E+07,10.67,,6900000
2021,BRA,HKG,BRA,HKG,18061,18017,0,0,0.072367,1.61E+09,3.68E+08,1,9.80151,0,1.20E+06,2.00E+06,779621,12.77,,1200000
2021,BRA,IDN.2,BRA,IDN,15642,16328,0,0,0.02606,1.61E+09,1.19E+09,1,9.657715,0,121818,2.10E+06,1.90E+06,11.87,,121818
2021,BRA,IND,BRA,IND,14435,14247,0,0,0.01197,1.61E+09,3.17E+09,1,9.577411,1,-2.40E+06,4.80E+06,7.20E+06,10.78,,2400000
2021,BRA,JPN,BRA,JPN,18530,17674,0,0,0.005628,1.61E+09,4.94E+09,1,9.827147,0,111569,5.50E+06,5.40E+06,11.43,,111569
2021,BRA,MYS.2,BRA,MYS,15938,16422,0,0,0.025638,1.61E+09,3.73E+08,1,9.676461,0,2.80E+06,4.70E+06,1.90E+06,13.36,,2800000
2021,BRA,NLD,BRA,NLD,9782,9096,0,0,0.390998,1.61E+09,1.02E+09,1,9.188299,0,7.10E+06,9.30E+06,2.20E+06,8.41,,7100000
2021,BRA,RUS,BRA,RUS,11791,11168,0,0,0.012405,1.61E+09,1.78E+09,1,9.375092,1,-4.60E+06,1.60E+06,6.20E+06,1.99,,4600000
2021,BRA,SAU,BRA,SAU,11390,11191,0,0,0.001906,1.61E+09,8.34E+08,1,9.340491,0,"-8,10,399","20,70,485","28,80,884",0,,810399
2021,BRA,SGP,BRA,SGP,15998,16542,0,0,0.04248,1.61E+09,3.97E+08,1,9.680219,0,4.90E+06,5.80E+06,882613,9.34,,4900000
2021,BRA,USA,BRA,USA,7658,6769,0,0,0.280848,1.61E+09,2.30E+10,1,8.943506,0,-1.00E+07,3.10E+07,4.20E+07,6.02,,10000000
